,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
87,臺南市,左鎮區,澄山里,59,32897,558,501,37.0,168.0,0.2202,35.0,167.0,0.2096,32.0,166.0,0.1928,34.0,163.0,0.2086
88,嘉義縣,番路鄉,草山村,43,33045,768,632,63.0,97.0,0.6495,73.0,97.0,0.7526,65.0,97.0,0.6701,66.0,98.0,0.6735
89,嘉義縣,阿里山鄉,山美村,54,33299,617,594,98.0,130.0,0.7538,103.0,131.0,0.7863,104.0,131.0,0.7939,101.0,129.0,0.7829
90,南投縣,仁愛鄉,都達村,51,33317,653,540,98.0,111.0,0.8829,99.0,111.0,0.8919,99.0,110.0,0.9,100.0,111.0,0.9009
91,臺東縣,海端鄉,利稻村,45,33560,746,694,38.0,67.0,0.5672,38.0,67.0,0.5672,42.0,67.0,0.6269,41.0,68.0,0.6029
92,新北市,瑞芳區,福住里,34,33650,990,698,38.0,69.0,0.5507,42.0,69.0,0.6087,41.0,69.0,0.5942,39.0,69.0,0.5652
93,屏東縣,霧臺鄉,吉露村,49,33965,693,642,56.0,72.0,0.7778,53.0,72.0,0.7361,54.0,72.0,0.75,54.0,72.0,0.75
94,屏東縣,恆春鎮,頭溝里,56,34131,609,524,60.0,164.0,0.3659,65.0,165.0,0.3939,64.0,166.0,0.3855,64.0,165.0,0.3879
95,宜蘭縣,頭城鎮,合興里,60,34404,573,516,31.0,86.0,0.3605,37.0,86.0,0.4302,39.0,85.0,0.4588,39.0,85.0,0.4588
96,高雄市,內門區,內南里,60,34563,576,499,46.0,100.0,0.46,42.0,101.0,0.4158,47.0,102.0,0.4608,44.0,102.0,0.4314
97,臺南市,左鎮區,岡林里,56,34796,621,460,40.0,137.0,0.292,49.0,137.0,0.3577,40.0,137.0,0.292,44.0,137.0,0.3212
98,臺南市,七股區,西寮里,54,35050,649,543,41.0,161.0,0.2547,43.0,164.0,0.2622,40.0,164.0,0.2439,43.0,164.0,0.2622
99,新北市,平溪區,平溪里,54,35653,660,490,60.0,101.0,0.5941,64.0,102.0,0.6275,64.0,102.0,0.6275,66.0,102.0,0.6471
100,,,,,,,,4973.0,9686.0,0.5134,5169.0,9693.0,0.5333,5057.0,9691.0,0.5218,5125.0,9694.0,0.5287
